date,id_cliente,tipo,price
2025-01-01,1988,Espanhol,100
2025-01-01,1995,Ingles,100
2025-01-01,312,Ingles,91
2025-01-01,2156,Espanhol,100
2025-01-01,1511,Espanhol,100
2025-01-01,2172,Ingles,100
2025-01-01,328,Ingles,100
2025-01-01,474,Espanhol,95
2025-01-01,2092,Ingles,77
2025-01-01,1158,Ingles,100
2025-01-01,910,Ingles,100
2025-01-01,190,Espanhol,100
2025-01-01,149,Espanhol,100
2025-01-01,1572,Espanhol,83
2025-01-01,1198,Espanhol,97
2025-01-01,51,Espanhol,100
2025-01-01,1470,Espanhol,100
2025-01-01,932,Ingles,100
2025-01-01,7,Ingles,100
2025-01-01,197,Ingles,100
2025-01-01,1374,Ingles,100
2025-01-01,1972,Espanhol,100
2025-01-01,1710,Ingles,77
2025-01-01,1411,Ingles,88
2025-01-01,2074,Ingles,100
2025-01-01,528,Ingles,100
2025-01-01,448,Espanhol,100
2025-01-01,2099,Ingles,100
2025-01-01,1839,Mandarim,100
2025-01-01,1136,Ingles,100
2025-01-01,1281,Espanhol,96
2025-01-01,1752,Espanhol,100
2025-01-01,1558,Espanhol,100
2025-01-01,219,Espanhol,100
2025-01-01,631,Ingles,97
2025-01-01,1215,Espanhol,100
2025-01-01,1645,Espanhol,100
2025-01-01,1735,Ingles,87
2025-01-01,625,Espanhol,91
2025-01-01,1107,Espanhol,100
2025-01-01,1013,Espanhol,88
2025-01-01,1487,Mandarim,100
2025-01-01,1439,Espanhol,100
2025-01-01,422,Espanhol,100
2025-01-01,1762,Ingles,100
2025-01-01,1726,Espanhol,100
2025-01-01,1884,Ingles,100
2025-01-01,1716,Ingles,100
2025-01-01,1502,Espanhol,87
2025-01-01,906,Espanhol,100
2025-01-01,1821,Espanhol,100
2025-01-01,1963,Espanhol,100
2025-01-01,1142,Espanhol,95
2025-01-01,473,Espanhol,92
2025-01-01,1585,Ingles,83
2025-01-01,1327,Ingles,82
2025-01-01,532,Espanhol,100
2025-01-01,68,Espanhol,100
2025-01-01,543,Ingles,100
2025-01-01,322,Ingles,93
2025-01-01,1061,Ingles,100
2025-01-01,1737,Espanhol,100
2025-01-01,141,Ingles,91
2025-01-01,1295,Mandarim,86
2025-01-01,620,Ingles,90
2025-01-01,515,Ingles,100
2025-01-01,1709,Espanhol,100
2025-01-01,2107,Espanhol,100
2025-01-01,1037,Espanhol,100
2025-01-01,1157,Ingles,100
2025-01-01,2039,Ingles,79
2025-01-01,1095,Espanhol,100
2025-01-01,1625,Ingles,100
2025-01-01,921,Ingles,95
2025-01-01,1763,Ingles,100
2025-01-01,1546,Espanhol,100
2025-01-01,1425,Espanhol,98
2025-01-01,1183,Espanhol,100
2025-01-01,1299,Espanhol,100
2025-01-01,978,Espanhol,100
2025-01-01,904,Ingles,94
2025-01-01,1896,Espanhol,78
2025-01-01,761,Espanhol,88
2025-01-01,1278,Ingles,79
2025-01-01,25,Espanhol,100
2025-01-01,1499,Ingles,97
2025-01-01,2202,Ingles,100
2025-01-01,924,Espanhol,100
2025-01-01,786,Espanhol,100
2025-01-01,1047,Ingles,88
2025-01-01,1866,Espanhol,100
2025-01-01,148,Espanhol,100
2025-01-01,1343,Espanhol,100
2025-01-01,655,Ingles,92
2025-01-01,1468,Mandarim,100
2025-01-01,240,Ingles,100
2025-01-01,1139,Ingles,100
2025-01-01,29,Mandarim,100
2025-01-01,27,Ingles,100
2025-01-01,463,Espanhol,93
2025-01-01,989,Ingles,86
2025-01-01,646,Ingles,100
2025-01-01,69,Ingles,98
2025-01-01,511,Ingles,79
2025-01-01,1368,Espanhol,100
2025-01-01,2037,Ingles,100
2025-01-01,2174,Espanhol,100
2025-01-01,1194,Espanhol,100
2025-01-01,1780,Espanhol,100
2025-01-01,2205,Espanhol,100
2025-01-01,490,Ingles,100
2025-01-01,975,Ingles,100
2025-01-01,1124,Ingles,100
2025-01-01,1113,Mandarim,100
2025-01-01,1395,Mandarim,89
2025-01-01,740,Mandarim,80
2025-01-01,174,Ingles,77
2025-01-01,939,Ingles,100
2025-01-01,1119,Espanhol,100
2025-01-01,111,Ingles,84
2025-01-01,1767,Espanhol,100
2025-01-01,1332,Ingles,100
2025-01-01,2113,Espanhol,100
2025-01-01,95,Espanhol,100
2025-01-01,226,Espanhol,100
2025-01-01,711,Ingles,100
2025-01-01,304,Espanhol,98
2025-01-01,836,Espanhol,100
